df1_index,df2_index,full_similarity,company_similarity,date_match,deadline1,deadline2,title1,title2,company1,company2
48,29,65,71,False,,,[중고나라] ES 기반 검색 개발자,[중고나라] ES 기반 검색 개발자 IT/정보통신 > 응용프로그래머 > Java,주중고나라,주식회사 중고나라
55,11,77,73,False,,,(경기 성남시) 전문연구요원_소음/진동 엔지니어(측정/해석) 채용,"(경기 성남시) 전문연구요원_소음/진동 엔지니어(측정/해석) 채용 연구개발 > 기계/금속/자동차 > 자동차, 기계, 조선",주브이엠브이테크 기술연구소,주브이엠브이테크
